OBJECTID,STATEFP,STATENS,AFFGEOID,GEOID,STUSPS,NAME,LSAD,ALAND,AWATER,POP_DENSITY,B25010_001E,B25010_001M,B11007_003E,B11007_003M,POP65PCT_CALC,POP65PCTM_CALC,DP04_0058E,DP04_0058M,DP04_0058PE,DP04_0058PM,B25044_003E,B25044_003M,B25044_010E,B25044_010M,B25044_004E,B25044_004M,B25044_011E,B25044_011M,DP04_0059E,DP04_0059M,B25044_005E,B25044_005M,B25044_012E,B25044_012M,DP04_0060E,DP04_0060M,B25044_006E,B25044_006M,B25044_013E,B25044_013M,HOUSE3VEHICLE_CALC,HOUSE3VEHICLE_CALCM,B25044_007E,B25044_007M,B25044_014E,B25044_014M,HOUSE4VEHICLE_CALC,HOUSE4VEHICLE_CALCM,B25044_008E,B25044_008M,B25044_015E,B25044_015M,HOUSE5VEHICLE_CALC,HOUSE5VEHICLE_CALCM,DP02_0001E,DP02_0001M,DP02_0007E,DP02_0007M,DP02_0011E,DP02_0011M,DP02_0004E,DP02_0004M,DP02_0015E,DP02_0015M,DP02_0007PM,DP02_0011PM,DP02_0007PE,DP02_0011PE,SHAPE_Length,SHAPE_Area
39,42,01779798,0400000US42,42,PA,Pennsylvania,00,115880457407,3398574954,110.385567042362,2.45,0,645910,6624,12.8,0.1,552961,4040,10.9,0.1,162436,2383,390525,3713,967259,6416,747017,5401,1714276,6780,1489158,9767,344912,3901,1834070,8585,597419,4753,67874,1821,665293,5090,189724,2146,16068,904,205792,2329,74982,1591,5732,626,80714,1710,5053106,9552,60891,1774,248323,3531,328108,3597,1606030,4639,0.1,0.1,1.2,4.9,17.334145946308,12.5358377028836
40,44,01219835,0400000US44,44,RI,Rhode Island,00,2677787140,1323663210,394.815175637896,2.47,0,53695,1478,13.1,0.4,38759,1275,9.4,0.3,6196,480,32563,1314,67170,1564,80892,1699,148062,2314,113783,1916,38708,1389,152491,2328,43514,1211,6527,701,50041,1399,13884,833,1534,307,15418,888,4945,528,773,227,5718,575,410489,1970,4948,468,23342,1122,28205,1344,125981,1023,0.1,0.3,1.2,5.7,5.80162297301666,0.307750273652801
41,45,01779799,0400000US45,45,SC,South Carolina,00,77864659170,5075874513,64.4811915125474,2.54,0,216812,3215,11.3,0.2,120766,2471,6.3,0.1,39348,1486,81418,2006,343858,4430,284581,4215,628439,5504,572461,5148,167486,3782,739947,5795,259014,3572,42280,1620,301294,3922,85311,2053,9721,685,95032,2164,33847,1340,2537,361,36384,1388,1921862,5983,20225,1246,119301,2045,101875,2695,600323,2763,0.1,0.1,1.1,6.2,15.9258765486591,7.85639919458976
42,46,01785534,0400000US46,46,SD,South Dakota,00,196346195316,3383460688,4.43419847580338,2.43,0,39870,1127,11.6,0.3,17756,754,5.2,0.2,3505,308,14251,713,44055,1180,53692,1144,97747,1709,96484,1664,30088,1085,126572,2033,55212,1337,8943,597,64155,1464,22124,751,2575,290,24699,805,12227,568,1241,224,13468,611,344397,1938,4933,479,15962,817,21368,1037,97026,885,0.1,0.2,1.4,4.6,23.3987821770753,22.5783316353292
43,47,01325873,0400000US47,47,TN,Tennessee,00,106805839178,2347012319,62.8182508712689,2.52,0,281636,3819,10.8,0.1,149286,2590,5.7,0.1,40982,1050,108304,2572,402191,4623,411508,4798,813699,5750,721853,6122,265274,3893,987127,6196,365495,4582,68205,2242,433700,5101,134583,2571,16515,930,151098,2734,57143,1724,5239,550,62382,1810,2597292,6331,34768,1589,149294,2976,144609,3217,757691,3077,0.1,0.1,1.3,5.7,22.3742798538323,10.8892716962164
44,48,01779801,0400000US48,48,TX,Texas,00,676668210823,18991880422,41.7647165153918,2.85,0,808494,8002,8.3,0.1,512411,5209,5.3,0.1,125564,2827,386847,4448,1380815,8356,1792269,10190,3173084,11271,2729761,17117,1165813,9008,3895574,14836,1216561,10943,259315,4370,1475876,11783,403398,4984,64349,1930,467747,5345,148703,3008,18252,1111,166955,3207,9691647,18858,133474,3119,631462,6861,524595,5692,2400548,7983,0.1,0.1,1.4,6.5,71.9765922570574,65.3276707563914
45,49,01455989,0400000US49,49,UT,Utah,00,213355135666,6529910339,14.5149915905845,3.12,0,72033,1541,7.4,0.2,39171,1359,4,0.1,11651,753,27520,1225,122045,2515,114629,2274,236674,2892,293850,3189,106231,2232,400081,3663,161254,2291,29339,1256,190593,2613,64330,1509,9901,682,74231,1656,32569,1038,3994,474,36563,1141,977313,2381,12977,813,40248,1452,45412,1730,227629,1214,0.1,0.2,1.3,4.1,20.001215013569,22.975116780702
46,50,01779802,0400000US50,50,VT,Vermont,00,23874197924,1030383955,26.150114110112,2.3,0,34730,888,13.4,0.3,17874,816,6.9,0.3,4214,372,13660,717,52478,1123,37334,1232,89812,1481,84463,1320,20169,916,104632,1288,30673,1009,3554,367,34227,1074,8339,497,908,188,9247,531,3832,339,405,159,4237,374,260029,1329,3429,403,9714,665,21759,809,83491,633,0.2,0.3,1.3,3.7,9.57125437062138,2.79795351297077
47,51,01779803,0400000US51,51,VA,Virginia,00,102258306285,8527942672,82.6775184055651,2.61,0,326134,4418,10.4,0.1,192193,3200,6.1,0.1,49885,1571,142308,2719,467929,4737,480635,4608,948564,6177,873406,6725,326581,4635,1199987,6531,450990,5424,83050,2119,534040,5823,169908,2573,22756,1137,192664,2813,75593,1762,8004,661,83597,1882,3151045,7497,38119,1438,162385,2685,168584,2652,895104,3435,0.1,0.1,1.2,5.2,33.6140585675716,10.6857787528406
48,53,01779804,0400000US53,53,WA,Washington,00,172117954267,12549727444,43.0176330617682,2.55,0,290372,3020,10.2,0.1,194383,2981,6.8,0.1,37618,1356,156765,2840,391219,3659,449370,5083,840589,5293,757192,6056,319887,3588,1077079,6322,388973,4485,88660,2288,477633,5035,143521,2452,27325,1289,170846,2770,74716,1742,13150,801,87866,1917,2848396,5857,36906,1510,115308,2495,216754,3136,789544,2552,0.1,0.1,1.3,4,47.9612543578732,20.8996360558688
49,54,01779805,0400000US54,54,WV,West Virginia,00,62266231560,489271086,29.1860444171708,2.42,0,96149,1979,13.1,0.3,63935,1836,8.7,0.2,24446,1171,39489,1410,154541,2469,95958,2187,250499,2766,222230,2666,47924,1508,270154,2653,93670,2134,9848,718,103518,2252,29083,1286,2510,407,31593,1349,12183,784,703,176,12886,804,732585,2601,9442,694,30537,1239,46286,1455,250451,1267,0.1,0.2,1.3,4.2,20.1969832674113,6.49387972628266
50,55,01779806,0400000US55,55,WI,Wisconsin,00,140293020078,29344176961,41.275866730793,2.39,0,274683,3139,11.6,0.1,157168,2375,6.7,0.1,34521,1019,122647,2279,368547,3502,378203,3251,746750,4285,731826,5899,215536,2665,947362,6179,307576,3015,44250,1486,351826,3361,96547,1318,11387,751,107934,1517,41922,1058,5194,428,47116,1141,2358156,7031,34881,1166,107832,2017,172654,2880,668819,2626,0.1,0.1,1.5,4.6,28.3859908843106,16.4901861957261
51,56,01779807,0400000US56,56,WY,Wyoming,00,251458578211,1867637632,2.31061514836237,2.46,0,24988,958,10.9,0.4,8851,676,3.8,0.3,2677,378,6174,539,29495,1210,28924,1081,58419,1450,63512,1486,22547,1243,86059,1782,40779,1188,7111,616,47890,1338,15884,836,2182,295,18066,887,9625,715,1191,275,10816,766,230101,1458,3725,466,8802,698,15592,1033,64680,657,0.2,0.3,1.6,3.8,21.9955352148813,27.970714628137
55,72,01779808,0400000US72,72,PR,Puerto Rico,00,8868701898,4922576715,374.1750526927,2.75,0,161726,2398,13.6,0.2,191450,2702,16.1,0.2,94688,1827,96762,2051,319754,3889,186768,2786,506522,4459,268399,3490,77219,2089,345618,3879,93931,2218,15207,921,109138,2402,26806,1184,3127,441,29933,1263,9047,778,946,249,9993,817,1192654,3406,8884,739,103251,1839,101945,1878,459195,1976,0.1,0.1,0.7,8.7,6.8618085229661,0.771304755284832
